timestep	actor	recipient	bodypart_actor	bodypart_recipient	label	intensity_of_body_contact	valence_actor	valence_recipient	intention	audio_information
372.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
374.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
376.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
378.0					NONE					
380.0					NONE					
382.0					NONE					
384.0					NONE					
386.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
386.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
388.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
388.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
390.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
390.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
392.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
392.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
394.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
394.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
396.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
396.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
398.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
398.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
400.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
400.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
402.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
402.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
404.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
404.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
406.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
406.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
408.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
408.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
410.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
410.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
410.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
410.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
412.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
412.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
414.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
414.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
416.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
416.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
418.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
418.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
420.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
420.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
422.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
422.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
424.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
424.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
426.0	MRS_GUMP	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
426.0	FORREST	MRS_GUMP	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
428.0	MRS_GUMP	FORREST	HAND	ARM	HOLD	1.0	POSITIVE	POSITIVE	1.0	
430.0	MRS_GUMP	FORREST	HAND	ARM	HOLD	1.0	POSITIVE	POSITIVE	1.0	
432.0	MRS_GUMP	FORREST	HAND	ARM	HOLD	1.0	POSITIVE	POSITIVE	1.0	
434.0	MRS_GUMP	FORREST	HAND	ARM	HOLD	1.0	POSITIVE	POSITIVE	1.0	
436.0					NONE					
438.0					NONE					
440.0					NONE					
442.0					NONE					
444.0					NONE					
446.0					NONE					
448.0					NONE					
450.0					NONE					
452.0					NONE					
454.0					NONE					
456.0					NONE					
458.0					NONE					
460.0					NONE					
462.0					NONE					
464.0					NONE					
466.0					NONE					
468.0					NONE					
470.0					NONE					
472.0					NONE					
474.0					NONE					
476.0					NONE					
478.0					NONE					
480.0					NONE					
482.0					NONE					
484.0					NONE					
486.0					NONE					
488.0					NONE					
490.0					NONE					
492.0					NONE					
494.0					NONE					
496.0					NONE					
498.0					NONE					
500.0					NONE					
502.0					NONE					
504.0					NONE					
506.0					NONE					
508.0					NONE					
510.0					NONE					
512.0					NONE					
514.0					NONE					
516.0					NONE					
518.0					NONE					
520.0					NONE					
522.0					NONE					
524.0					NONE					
526.0					NONE					
528.0					NONE					
530.0					NONE					
532.0					NONE					
534.0					NONE					
536.0					NONE					
538.0					NONE					
540.0					NONE					
542.0					NONE					
544.0					NONE					
546.0					NONE					
548.0					NONE					
550.0					NONE					
552.0					NONE					
554.0					NONE					
556.0					NONE					
558.0					NONE					
560.0					NONE					
562.0					NONE					
564.0					NONE					
566.0					NONE					
568.0					NONE					
570.0					NONE					
572.0					NONE					
574.0					NONE					
576.0					NONE					
578.0					NONE					
580.0					NONE					
582.0					NONE					
584.0					NONE					
586.0					NONE					
588.0					NONE					
590.0					NONE					
592.0					NONE					
594.0					NONE					
596.0					NONE					
598.0					NONE					
600.0					NONE					
602.0					NONE					
604.0					NONE					
606.0					NONE					
608.0					NONE					
610.0					NONE					
612.0					NONE					
614.0					NONE					
616.0					NONE					
618.0					NONE					
620.0					NONE					
622.0					NONE					
624.0					NONE					
626.0					NONE					
628.0					NONE					
630.0					NONE					
632.0					NONE					
634.0					NONE					
636.0					NONE					
638.0					NONE					
640.0					NONE					
642.0					NONE					
644.0					NONE					
646.0					NONE					
648.0					NONE					
650.0					NONE					
652.0					NONE					
654.0					NONE					
656.0					NONE					
658.0					NONE					
660.0					NONE					
662.0					NONE					
664.0					NONE					
666.0					NONE					
668.0					NONE					
670.0					NONE					
672.0					NONE					
674.0					NONE					
676.0					NONE					
678.0					NONE					
680.0					NONE					
682.0					NONE					
684.0					NONE					
686.0					NONE					
688.0					NONE					
690.0					NONE					
692.0					NONE					
694.0					NONE					
696.0					NONE					
698.0					NONE					
700.0					NONE					
702.0					NONE					
704.0					NONE					
706.0					NONE					
708.0					NONE					
710.0					NONE					
712.0	MRS_GUMP	FORREST	HAND	FACE	HOLD	1.0	POSITIVE	POSITIVE	1.0	
714.0	MRS_GUMP	FORREST	HAND	FACE	HOLD	1.0	POSITIVE	POSITIVE	1.0	
716.0	MRS_GUMP	FORREST	HAND	FACE	HOLD	1.0	POSITIVE	POSITIVE	1.0	
718.0	MRS_GUMP	FORREST	HAND		CHANGE_POSITION	1.0	POSITIVE	POSITIVE	1.0	
720.0	MRS_GUMP	FORREST	HAND		CHANGE_POSITION	1.0	POSITIVE	POSITIVE	1.0	
722.0					NONE					
724.0					NONE					
726.0					NONE					
728.0					NONE					
730.0					NONE					
732.0					NONE					
734.0					NONE					
736.0					NONE					
738.0					NONE					
740.0					NONE					
742.0					NONE					
744.0					NONE					
746.0					NONE					
748.0					NONE					
750.0					NONE					
752.0					NONE					
754.0					NONE					
756.0					NONE					
758.0					NONE					
760.0					NONE					
762.0					NONE					
764.0					NONE					
766.0					NONE					
768.0					NONE					
770.0					NONE					
772.0					NONE					
774.0					NONE					
776.0					NONE					
778.0					NONE					
780.0					NONE					
782.0					NONE					
784.0					NONE					
786.0					NONE					
788.0					NONE					
790.0					NONE					
792.0					NONE					
794.0					NONE					
796.0					NONE					
798.0					NONE					
800.0					NONE					
802.0					NONE					
804.0					NONE					
806.0					NONE					
808.0					NONE					
810.0					NONE					
812.0					NONE					
814.0					NONE					
816.0					NONE					
818.0					NONE					
820.0					NONE					
822.0					NONE					
824.0					NONE					
826.0					NONE					
828.0					NONE					
830.0					NONE					
832.0					NONE					
834.0					NONE					
836.0					NONE					
838.0					NONE					
840.0	JENNY	FORREST	HAND	HAND	SHAKE_HANDS	1.0	POSITIVE	STRONG_POSITIVE	1.0	
840.0	JENNY	FORREST	HAND	HAND	SHAKE_HANDS	1.0	POSITIVE	STRONG_POSITIVE	1.0	
842.0	JENNY	FORREST	HAND	HAND	SHAKE_HANDS	1.0	POSITIVE	STRONG_POSITIVE	1.0	
844.0					NONE					
846.0					NONE					
848.0					NONE					
850.0					NONE					
852.0					NONE					
854.0					NONE					
856.0					NONE					
858.0	JENNY	FORREST			NESTLE	0.0	POSITIVE	POSITIVE	1.0	
858.0	FORREST	JENNY			NESTLE	0.0	POSITIVE	POSITIVE	1.0	
860.0	JENNY	FORREST			NESTLE	0.0	POSITIVE	POSITIVE	1.0	
860.0	FORREST	JENNY			NESTLE	0.0	POSITIVE	POSITIVE	1.0	
862.0					NONE					
864.0					NONE					
866.0					NONE					
868.0					NONE					
870.0					NONE					
872.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
874.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
876.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
878.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
880.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
882.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
884.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
886.0	JENNY	FORREST			HOLD_HANDS	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
888.0					NONE					
890.0					NONE					
892.0					NONE					
894.0					NONE					
896.0					NONE					
898.0					NONE					
900.0					NONE					
902.0					NONE					
904.0					NONE					
906.0	JENNY	FORREST	HAND	HAND	CHANGE_POSITION	1.0	POSITIVE	STRONG_POSITIVE	1.0	AUDITORY
906.0	JENNY	FORREST	HAND	HAND	CHANGE_POSITION	1.0	POSITIVE	STRONG_POSITIVE	1.0	AUDITORY
908.0	JENNY	FORREST	HAND	HAND	CHANGE_POSITION	1.0	POSITIVE	STRONG_POSITIVE	1.0	AUDITORY
910.0					NONE					
912.0	JENNY	FORREST	HAND	SHOULDER	TAP	0.0	POSITIVE	POSITIVE	1.0	
912.0	JENNY	FORREST	HAND	BACK	NUDGE	0.0	POSITIVE	POSITIVE	1.0	
914.0					NONE					
916.0					NONE					
918.0					NONE					
920.0					NONE					
922.0					NONE					
924.0					NONE					
926.0					NONE					
928.0					NONE					
930.0					NONE					
932.0					NONE					
934.0					NONE					
936.0					NONE					
938.0					NONE					
940.0					NONE					
942.0					NONE					
944.0					NONE					
946.0					NONE					
948.0					NONE					
950.0					NONE					
952.0					NONE					
954.0					NONE					
956.0					NONE					
958.0					NONE					
960.0					NONE					
962.0					NONE					
964.0					NONE					
966.0					NONE					
968.0					NONE					
970.0					NONE					
972.0					NONE					
974.0					NONE					
976.0					NONE					
978.0					NONE					
980.0					NONE					
982.0					NONE					
984.0					NONE					
986.0					NONE					
988.0					NONE					
990.0					NONE					
992.0					NONE					
994.0					NONE					
996.0					NONE					
998.0					NONE					
1000.0					NONE					
1002.0					NONE					
1004.0					NONE					
1006.0					NONE					
1008.0					NONE					
1010.0					NONE					
1012.0					NONE					
1014.0					NONE					
1016.0					NONE					
1018.0					NONE					
1020.0					NONE					
1022.0					NONE					
1024.0					NONE					
1026.0					NONE					
1028.0					NONE					
1030.0					NONE					
1032.0					NONE					
1034.0					NONE					
1036.0					NONE					
1038.0					NONE					
1040.0					NONE					
1042.0					NONE					
1044.0					NONE					
1046.0					NONE					
1048.0					NONE					
1050.0					NONE					
1052.0					NONE					
1054.0					NONE					
1056.0					NONE					
1058.0					NONE					
1060.0					NONE					
1062.0					NONE					
1064.0					NONE					
1066.0					NONE					
1068.0					NONE					
1070.0					NONE					
1072.0					NONE					
1074.0					NONE					
1076.0					NONE					
1078.0	JENNY	FORREST	HAND	HAND	PULL_SOMEBODY	1.0	POSITIVE	POSITIVE	1.0	
1080.0					NONE					
1082.0					NONE					
1084.0	JENNY	FORREST	HAND	HAND	PULL_SOMEBODY	1.0	POSITIVE	POSITIVE	1.0	
1084.0	JENNY	FORREST	HAND	HAND	PULL_SOMEBODY	1.0	POSITIVE	POSITIVE	1.0	
1086.0					NONE					
1088.0					NONE					
1090.0					NONE					
1092.0					NONE					
1094.0					NONE					
1096.0					NONE					
1098.0					NONE					
1100.0					NONE					
1102.0					NONE					
1104.0					NONE					
1106.0					NONE					
1108.0					NONE					
1110.0					NONE					
1112.0					NONE					
1114.0					NONE					
1116.0					NONE					
1118.0					NONE					
1120.0					NONE					
1122.0					NONE					
1124.0					NONE					
1126.0					NONE					
1128.0					NONE					
1130.0					NONE					
1132.0					NONE					
1134.0					NONE					
1136.0	JENNY	FORREST			HUG	0.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1138.0	JENNY	FORREST			HUG	0.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1140.0	JENNY	FORREST			HUG	0.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1142.0	JENNY	FORREST			HUG	0.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1144.0	JENNY	FORREST			HUG	0.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1146.0					NONE					
1148.0					NONE					
1150.0					NONE					
1152.0					NONE					
1154.0					NONE					
1156.0					NONE					
1158.0					NONE					
1160.0					NONE					
1162.0					NONE					
1164.0					NONE					
1166.0					NONE					
1168.0					NONE					
1170.0					NONE					
1172.0					NONE					
1174.0					NONE					
1176.0					NONE					
1178.0					NONE					
1180.0					NONE					
1182.0					NONE					
1184.0					NONE					
1186.0					NONE					
1188.0					NONE					
1190.0					NONE					
1192.0					NONE					
1194.0					NONE					
1196.0					NONE					
1198.0					NONE					
1200.0					NONE					
1202.0					NONE					
1204.0					NONE					
1206.0					NONE					
1208.0					NONE					
1210.0					NONE					
1212.0					NONE					
1214.0					NONE					
1216.0					NONE					
1218.0					NONE					
1220.0					NONE					
1222.0					NONE					
1224.0					NONE					
1226.0	MEN	MEN	CHEST		TACKLE	1.0	POSITIVE	NEGATIVE	1.0	
1228.0					NONE					
1230.0					NONE					
1232.0					NONE					
1234.0					NONE					
1236.0					NONE					
1238.0					NONE					
1240.0					NONE					
1242.0					NONE					
1244.0	MEN	MEN			TACKLE	1.0	NEGATIVE	NEGATIVE	1.0	
1246.0					NONE					
1248.0	MEN	FORREST	HAND	BACK	NUDGE	1.0	POSITIVE	POSITIVE	1.0	
1250.0					NONE					
1252.0					NONE					
1254.0					NONE					
1256.0					NONE					
1258.0					NONE					
1260.0					NONE					
1262.0					NONE					
1264.0					NONE					
1266.0					NONE					
1268.0	MEN	MEN	HAND	SHOULDER	HOLD	1.0	STRONG_POSITIVE	POSITIVE	1.0	
1270.0	MEN	MEN			TACKLE	1.0	STRONG_NEGATIVE	STRONG_NEGATIVE	0.0	
1272.0					NONE					
1274.0	MEN	MEN			TACKLE	1.0	STRONG_NEGATIVE	STRONG_NEGATIVE	0.0	
1276.0					NONE					
1278.0					NONE					
1280.0					NONE					
1282.0	FORREST	MEN	ARM		PUSH_AWAY	1.0	NEGATIVE	STRONG_NEGATIVE	0.0	
1284.0					NONE					
1286.0					NONE					
1288.0					NONE					
1290.0					NONE					
1292.0					NONE					
1294.0					NONE					
1296.0					NONE					
1298.0					NONE					
1300.0					NONE					
1302.0					NONE					
1304.0					NONE					
1306.0					NONE					
1308.0					NONE					
1310.0					NONE					
1312.0	JENNY	MEN			CUDDLE	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1312.0	MEN	JENNY			CUDDLE	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1314.0	JENNY	MEN			CUDDLE	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1314.0	MEN	JENNY			CUDDLE	1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1314.0	JENNY	MEN	FACE	FACE		1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1314.0	MEN	JENNY	FACE	FACE		1.0	STRONG_POSITIVE	STRONG_POSITIVE	1.0	
1316.0					NONE					
1318.0					NONE					
1320.0					NONE					
1322.0					NONE					
1324.0					NONE					
1326.0					NONE					
1328.0					NONE					
1330.0					NONE					
1332.0					NONE					
1334.0					NONE					
1336.0					NONE					
1338.0					NONE					
1340.0	JENNY	FORREST	HAND			1.0	STRONG_NEGATIVE	NEGATIVE	1.0	
1342.0					NONE					
1344.0	JENNY	MEN	HAND		NUDGE	0.0	NEGATIVE	STRONG_NEGATIVE	1.0	AUDITORY
1346.0	JENNY	FORREST	HAND	SHOULDER	NUDGE	0.0	NEGATIVE	NEGATIVE	1.0	AUDITORY
1348.0	JENNY	MEN	HAND	CHEST	HOLD	0.0	POSITIVE	STRONG_NEGATIVE	1.0	
1348.0	MEN	JENNY	HAND		PUSH_AWAY	1.0	STRONG_NEGATIVE	STRONG_NEGATIVE	1.0	AUDITORY
1350.0	JENNY	MEN	HAND	CHEST	HOLD	0.0	NEGATIVE	NEGATIVE	1.0	
1350.0	MEN	JENNY	HAND	BACK	PUSH_AWAY	1.0	NEGATIVE	STRONG_NEGATIVE	1.0	
1352.0					NONE					
1354.0					NONE					
1356.0					NONE					
1358.0					NONE					
1360.0					NONE					
1362.0					NONE					
1364.0					NONE					
1366.0					NONE					
1368.0					NONE					
1370.0					NONE					
1372.0					NONE					
1374.0					NONE					
1376.0					NONE					
1378.0					NONE					
1380.0					NONE					
1382.0	JENNY	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
1384.0					NONE					
1386.0	JENNY	FORREST	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
1386.0	FORREST	JENNY	HAND	HAND	HOLD_HANDS	1.0	POSITIVE	POSITIVE	1.0	
1388.0					NONE					
1390.0					NONE					
1392.0					NONE					
1394.0					NONE					
1396.0					NONE					
1398.0					NONE					
1400.0					NONE					
1402.0					NONE					
1404.0					NONE					
1406.0					NONE					
1408.0					NONE					
1410.0					NONE					
1412.0					NONE					
1414.0					NONE					
1416.0					NONE					
1418.0					NONE					
1420.0					NONE					
1422.0					NONE					
1424.0					NONE					
1426.0					NONE					
1428.0					NONE					
1430.0					NONE					
1432.0					NONE					
1434.0					NONE					
1436.0					NONE					
1438.0					NONE					
1440.0					NONE					
1442.0					NONE					
1444.0					NONE					
1446.0					NONE					
1448.0					NONE					
1450.0					NONE					
1452.0					NONE					
1454.0					NONE					
1456.0					NONE					
1458.0					NONE					
1460.0					NONE					
1462.0					NONE					
1464.0					NONE					
1466.0					NONE					
1468.0	JENNY	FORREST	HAND	HAND	LEAD	0.0	POSITIVE	STRONG_POSITIVE	1.0	
1470.0					NONE					
1472.0					NONE					
1474.0					NONE					
1476.0					NONE					
1478.0					NONE					
1480.0					NONE					
1482.0					NONE					
1484.0					NONE					
